Incidence Rate Report for Louisiana by Parish,,,,,,,,,,
,,,,,,,,,,
"Colon & Rectum, 2011-2015",,,,,,,,,,
,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
,,,,,,,,,,
Sorted by Rate,,,,,,,,,,
,,,,,,,,,,
Parish, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"St. John the Baptist Parish(7,8)",22095,No,47.2,38.7,57.1,23,stable,-1.8,-3.7,0.2
"Vernon Parish(7,8)",22115,No,47.1,38.4,57.2,21,stable,3.2,-6.3,13.6
"Grant Parish(7,8)",22043,No,46.8,35.4,60.8,12,stable,-1,-4.9,3.1
Tensas Parish(7),22107,No,45.9,25.6,77.9,3,*,*,*,*
"Tangipahoa Parish(7,8)",22105,No,45.3,40.1,50.9,59,falling,-2.7,-4.1,-1.2
"Webster Parish(7,8)",22119,No,44.4,36.8,53.2,25,falling,-3.9,-6.2,-1.6
"Ouachita Parish(7,8)",22073,No,44.2,39.7,49,73,stable,-1.7,-3.4,0
"Union Parish(7,8)",22111,No,43.7,33.6,56,14,stable,0.1,-5.2,5.8
"Washington Parish(7,8)",22117,No,43.6,36,52.3,25,stable,-2.6,-5.3,0.2
"St. Tammany Parish(7,8)",22103,No,43.3,39.8,46.9,122,falling,-3,-3.9,-2.1
"Livingston Parish(7,8)",22063,No,42.9,38,48.3,58,falling,-3.8,-5.8,-1.7
"West Feliciana Parish(7,8)",22125,No,42.5,29.5,59.7,8,stable,-2.3,-6.9,2.6
"Claiborne Parish(7,8)",22027,No,42.5,31,57.3,9,falling,-3.7,-7.2,-0.2
"Orleans Parish(7,8)",22071,No,42.3,39.4,45.4,165,falling,-2.9,-3.7,-2.2
"LaFourche Parish(7,8)",22057,No,41.9,36.5,47.9,45,stable,-1.5,-3,0
"Bossier Parish(7,8)",22015,No,41.7,36.8,47.1,53,falling,-3,-4.8,-1
"East Baton Rouge Parish(7,8)",22033,No,40.9,38.3,43.8,181,falling,-3.2,-4,-2.4
"Jefferson Parish(7,8)",22051,No,40.7,38.2,43.3,210,falling,-4,-5.6,-2.3
"Sabine Parish(7,8)",22085,No,40.2,31.1,51.3,14,falling,-3.2,-6.1,-0.2
"Beauregard Parish(7,8)",22011,Yes,39.4,31.1,49.3,16,falling,-2.9,-5.6,-0.1
"St. Charles Parish(7,8)",22089,Yes,38.7,31.4,47.2,21,stable,-1.3,-3.4,0.8
"Ascension Parish(7,8)",22005,Yes,37.8,32.5,43.8,39,falling,-3.7,-5.9,-1.4
"Plaquemines Parish(7,8)",22075,Yes,37.7,27.5,50.4,9,falling,-3.9,-6.7,-1
"Lincoln Parish(7,8)",22061,Yes,37.2,29.5,46.4,16,falling,-4.4,-6.5,-2.2
"St. Helena Parish(7,8)",22091,Yes,35.8,22.7,54.4,5,stable,-2.8,-8.2,2.8
"Red River Parish(7,8)",22081,Yes,35,21.1,55.2,4,stable,-4.1,-8.3,0.4
,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 01/14/2019 10:30 pm.,,,,,,,,,,
Data for the United States does not include data from Nevada,,,,,,,,,,
,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2015 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. ,,,,,,,,,,
,,,,,,,,,,
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3).",,,,,,,,,,
,,,,,,,,,,
1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2017 data submission and SEER November 2017 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].,,,,,,,,,,
3 Source: SEER November 2017 submission.  State Cancer Registry also receives funding from CDC's National Program of Cancer Registries.,,,,,,,,,,
7 Source: SEER November 2017 submission.,,,,,,,,,,
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2016 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2017 data. ",,,,,,,,,,
"10 Source: Incidence data provided by the National Program of Cancer Registries (NPCR). ( https://nccd.cdc.gov/uscs/ ) EAPCs calculated by the National Cancer Institute using SEER*Stat. ( http://seer.cancer.gov/seerstat/ ) Rates are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modified by NCI. The 1969-2016  US Population Data File ( http://seer.cancer.gov/popdata/ ) is used with NPCR November 2017 data.",,,,,,,,,,
,,,,,,,,,,
"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. ",,,,,,,,,,
,,,,,,,,,,
"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate.",,,,,,,,,,
,,,,,,,,,,
Data for United States does not include Puerto Rico.,,,,,,,,,,
