County,Latitude,Longitude
Mendocino County,38.029655,-119.9740534
Modoc County,39.5500194,-123.438353
Sutter County,41.4565165,-120.629366
Lassen County,39.0219764,-121.6739371
Merced County,40.5394389,-120.7120023
Lake County,37.2009788,-120.7120023
Colusa County,42.3689363,-87.8271534
Mariposa County,39.1040645,-122.2653887
Alpine County,37.4893626,-119.9679294
Sierra County,38.5940736,-119.8815203
Colorado,39.5532845,-120.2512728
US ,39.5500507,-105.7820674
Routt County,37.09024,-95.712891
Douglas County,40.4771623,-107.1011931
Teller County,39.2587106,-104.9388853
Pitkin County,38.8611579,-105.1726816
Elbert County,39.159101,-106.8178377
Boulder County,39.3537004,-104.1930918
Arapahoe County,40.1512114,-105.5005483
Denver County,39.62031,-104.332644
Jefferson County,39.7392358,-104.990251
Larimer County,39.5800298,-105.2662931
Archuleta County,40.6955572,-105.5943388
Chaffee County,37.1604318,-107.0067031
Pueblo County,38.7536679,-106.2522143
Alamosa County,38.2528534,-104.4723301
Broomfield County,37.654039,-105.876004
Fremont County,39.9205411,-105.0866504
El Paso County,38.5306514,-105.5005483
Yuma County,38.9108325,-104.4723301
Rio Blanco County,32.6527533,-113.9536466
Moffat County,39.9814297,-108.2377519
Garfield County,40.6138379,-108.2377519
Eagle County,39.6584775,-107.763621
Mesa County,39.576406,-106.7234639
La Plata County,38.9585381,-108.6175626
Weld County,37.2125857,-107.763621
Logan County,40.3920718,-104.7158226
Clear Creek County,40.3899679,-83.8473015
Adams County,39.6904464,-105.6412527
Gilpin County,39.8398269,-104.1930918
Huerfano County,39.8770159,-105.4536718
Montezuma County,37.6125984,-104.9388853
Ouray County,37.3257517,-108.6175626
Las Animas County,38.2016133,-107.763621
Gunnison County,37.2994909,-104.1001326
Phillips County,38.6437083,-107.0067031
Otero County,34.4611206,-90.8675134
Custer County,32.6341716,-105.5943388
Morgan County,38.0615578,-105.3131185
Montrose County,41.0576176,-111.6183755
Kit Carson County,38.468304,-108.1428669
San Miguel County,39.3844507,-102.5298028
Prowers County,37.9781237,-108.1428669
Park County,37.8433756,-102.2547919
Rio Grande County,39.0897928,-105.5943388
Grand County,37.5749508,-106.4405872
Delta County,40.0727382,-106.0640179
Conejos County,38.8531357,-107.763621
Summit County,37.2689711,-106.2522143
Saguache County,41.0918991,-81.5596427
Baca County,38.0019623,-106.3463791
Bent County,37.394731,-102.5298028
Cheyenne County,38.0036339,-103.0817903
Costilla County,38.8002562,-102.6216211
Crowley County,37.2049596,-105.5005483
Dolores County,38.2498631,-103.8216261
Hinsdale County,37.7530272,-108.5225709
Jackson County,37.9316309,-107.3848831
Kiowa County,38.9914998,-94.315422
Lake County,37.5285165,-99.2785583
Lincoln County,42.3689363,-87.8271534
Mineral County,35.4637028,-81.2078164
San Juan County,37.6583677,-107.0067031
Sedgwick County,48.6118035,-122.9602621
Washington County,37.6537367,-97.5247243
Connecticut,45.5469616,-123.1386021
US ,41.3728968,-72.8515479
Middlesex County,37.09024,-95.712891
Tolland County,40.4111363,-74.3587473
Fairfield County,41.8418987,-72.3784679
New London County,39.830506,-82.6483442
New Haven County,41.5185189,-72.0468164
Hartford County,41.3266911,-72.8042797
Litchfield County,41.7924343,-72.8042797
Windham County,41.7866294,-73.2765361
District of Columbia,41.8275622,-72.0468164
US ,38.9071923,-77.0368707
Delaware,37.09024,-95.712891
US ,38.9108325,-75.5276699
New Castle County,37.09024,-95.712891
Kent County,39.5392979,-75.667356
Sussex County,43.0097027,-85.520024
Florida,37.09024,-95.712891
US ,27.6648274,-81.5157535
Union County,37.09024,-95.712891
Gilchrist County,34.9338651,-80.543845
Alachua County,29.6871128,-82.820974
Duval County,29.6579549,-82.3017728
Martin County,30.3500511,-81.6035062
Nassau County,27.0804935,-80.4103957
St. Johns County,40.6546145,-73.5594128
Polk County,29.9719419,-81.4278984
Pinellas County,27.8617347,-81.6911559
Lake County,27.876394,-82.7778579
Sarasota County,42.3689363,-87.8271534
Escambia County,27.1995986,-82.345189
Bay County,30.6389408,-87.3413599
Wakulla County,30.1805306,-85.684578
Brevard County,30.1301689,-84.3542049
Broward County,28.263933,-80.7214417
Hillsborough County,26.190096,-80.365865
Columbia County,27.9903597,-82.3017728
Marion County,33.5098514,-82.2583297
Palm Beach County,29.2787765,-82.12784
Dixie County,26.6514503,-80.2767327
Clay County,29.5207227,-83.1649001
Flagler County,29.9943564,-81.7787021
Putnam County,29.4086072,-81.2518833
Seminole County,41.4351069,-73.7948516
Suwannee County,28.7131688,-81.2078164
Leon County,30.2485096,-82.9931607
Santa Rosa County,30.4906177,-84.1857115
Pasco County,30.7689907,-86.9824288
Okaloosa County,28.3232418,-82.4319405
Bradford County,30.5773401,-86.6611083
Okeechobee County,29.9723818,-82.1713632
Liberty County,27.3462015,-80.8986502
Orange County,30.1633593,-94.8105955
Walton County,33.7174708,-117.8311428
Lee County,30.5640199,-86.1751759
Volusia County,26.6630286,-81.9534815
Indian River County,29.0279842,-81.0754657
Levy County,27.6947732,-80.543845
St. Lucie County,29.3178545,-82.820974
Hernando County,27.3225563,-80.543845
Osceola County,28.5578826,-82.4752757
Manatee County,28.1019838,-81.0754657
Citrus County,27.4799195,-82.345189
Highlands County,28.8848842,-82.5185837
Charlotte County,27.3400286,-81.3400268
Miami-Dade County,26.8946009,-81.909826
Sumter County,25.5516034,-80.6326916
Jefferson County,28.6747526,-82.0842901
Hardee County,39.5800298,-105.2662931
Gulf County,27.4501733,-81.8224362
Taylor County,29.8001623,-85.354965
Monroe County,32.2455088,-99.8124935
Gadsden County,43.2841246,-77.7452081
Hamilton County,30.5562947,-84.6479124
Glades County,39.2355447,-84.564147
Baker County,26.984415,-81.0754657
Collier County,44.7652304,-117.67692
DeSoto County,26.069985,-81.4278984
Hendry County,34.9065453,-89.9626799
Madison County,26.6105319,-81.0754657
Lafayette County,38.9041402,-89.9253233
Franklin County,42.6293203,-90.0746767
Jackson County,40.0154745,-82.9931607
Washington County,38.9914998,-94.315422
Calhoun County,45.5469616,-123.1386021
Holmes County,33.7701576,-85.80766
Georgia,40.5540928,-81.909826
US ,33.1494063,-84.7733325
Quitman County,37.09024,-95.712891
Warren County,34.2863303,-90.2620042
Wilkes County,39.4241422,-84.1857115
Greene County,36.202858,-81.2518833
Calhoun County,39.697399,-83.8897057
Turner County,33.7701576,-85.80766
Crawford County,31.6976531,-83.634843
Fayette County,41.6661391,-80.2767327
Tattnall County,33.4502206,-84.4802606
Oconee County,32.0634576,-82.0842901
Baker County,34.749245,-82.9931607
Screven County,44.7652304,-117.67692
Bacon County,32.7074673,-81.6035062
Washington County,31.5412085,-82.4319405
Atkinson County,45.5469616,-123.1386021
DeKalb County,31.2932161,-82.8640623
Cobb County,33.7956441,-84.2278796
Lincoln County,33.8999297,-84.564147
Muscogee County,35.4637028,-81.2078164
Evans County,32.4794133,-84.8984775
Clayton County,32.1427011,-81.909826
Clarke County,33.5571944,-84.375233
Harris County,33.9519347,-83.357567
Mitchell County,29.7751825,-95.3102505
Henry County,36.0277763,-82.1496049
Franklin County,33.4347963,-84.1435136
Camden County,40.0154745,-82.9931607
Newton County,39.8592439,-75.0143824
Columbia County,33.5544296,-83.8473015
Chatham County,33.5098514,-82.2583297
Richmond County,35.7211289,-79.17807
Fulton County,33.3205339,-82.0842901
Effingham County,33.8033965,-84.3962535
Meriwether County,32.378148,-81.3839326
Tift County,33.0561282,-84.6897495
Taylor County,31.4205597,-83.5496566
Rockdale County,32.2455088,-99.8124935
Spalding County,33.6752492,-84.0378894
Upson County,33.2636732,-84.3121264
Jasper County,32.9047684,-84.3121264
Douglas County,32.491436,-81.0754657
Bibb County,39.2587106,-104.9388853
Polk County,32.7865735,-83.7199136
Dougherty County,27.8617347,-81.6911559
Miller County,31.5439375,-84.2278796
Jackson County,33.3335556,-93.8655303
Gwinnett County,38.9914998,-94.315422
Stewart County,33.9190653,-84.0167423
Troup County,36.5023236,-87.7763333
Forsyth County,33.0698575,-85.023346
Terrell County,34.2358502,-84.1435136
Wayne County,30.2348611,-102.1632718
Union County,42.2790746,-83.336188
Pickens County,34.9338651,-80.543845
Morgan County,34.9046217,-82.6483442
Jones County,41.0576176,-111.6183755
Cook County,31.5343241,-89.1705998
Jenkins County,41.7376587,-87.697554
Crisp County,32.7781246,-81.9971108
Cherokee County,31.8875724,-83.804868
Ware County,34.2514526,-84.4802606
Elbert County,31.134411,-82.4752757
Macon County,39.3537004,-104.1930918
Paulding County,35.1197519,-83.336188
Towns County,33.9142037,-84.8984775
Bleckley County,34.9208214,-83.7199136
Madison County,32.4087854,-83.3789389
Houston County,38.9041402,-89.9253233
Lamar County,32.4219655,-83.634843
Glynn County,33.75694,-95.6457951
Burke County,31.2624169,-81.6035062
Irwin County,35.7616931,-81.734942
Carroll County,31.5893221,-83.2934086
Lumpkin County,39.5423418,-77.0564464
Walton County,34.5813972,-83.9744262
Lowndes County,30.5640199,-86.1751759
White County,30.8600022,-83.2934086
Floyd County,34.6567728,-83.7199136
Peach County,38.2869276,-85.8895551
Fannin County,32.5892926,-83.8260884
Sumter County,33.5544296,-96.1526985
Montgomery County,28.6747526,-82.0842901
Bartow County,39.1547426,-77.2405153
Hall County,34.2660473,-84.8150781
Rabun County,34.30778,-83.804868
Coweta County,34.9027286,-83.3789389
Hancock County,33.3716708,-84.7315563
Toombs County,39.8249915,-85.8486236
Seminole County,32.0795072,-82.345189
Talbot County,28.7131688,-81.2078164
Schley County,38.7803973,-76.1319953
Habersham County,32.2736136,-84.3121264
Pierce County,34.6478893,-83.5496566
Colquitt County,47.0675877,-122.1295269
Thomas County,31.2072856,-83.8473015
Dodge County,30.8417409,-83.8473015
Monroe County,43.3994215,-88.7108964
Laurens County,43.2841246,-77.7452081
Bryan County,34.5203466,-82.12784
Dade County,32.0236584,-81.4718387
Barrow County,25.5516034,-80.6326916
Bulloch County,34.0142667,-83.6986568
Worth County,32.3595678,-81.7787021
Butts County,43.3580686,-93.3388917
Liberty County,33.2691443,-83.9532571
Stephens County,30.1633593,-94.8105955
McDuffie County,34.5458998,-83.2934086
Hart County,33.5258626,-82.5185837
Lee County,34.3500039,-82.9501558
Wilkinson County,26.6630286,-81.9534815
Treutlen County,32.8024682,-83.1649001
Appling County,32.3870233,-82.5834947
Putnam County,31.712238,-82.2583297
Emanuel County,41.4351069,-73.7948516
Baldwin County,32.5726629,-82.3017728
Ben Hill County,30.6010744,-87.7763333
Pike County,31.7664035,-83.2077645
Early County,41.3361875,-75.0611147
Coffee County,31.3901106,-84.8984775
Gordon County,35.4576849,-86.0529604
Lanier County,34.4891699,-84.8567932
Oglethorpe County,31.0291269,-83.0361376
Gilmer County,33.9119731,-83.0361376
Chattooga County,34.6935359,-84.4802606
Berrien County,34.4632661,-85.3136218
Decatur County,42.0320742,-86.7416374
Jeff Davis County,39.3176186,-85.520024
Heard County,30.750805,-104.1930918
Walker County,33.2990406,-85.1479364
Whitfield County,30.6815394,-95.6457951
Charlton County,34.8033566,-84.981754
Randolph County,30.7917361,-82.0842901
Grady County,35.7449531,-79.8296743
Haralson County,35.0472662,-97.87216
Dawson County,33.8021715,-85.1900684
Wilcox County,34.412912,-84.1435136
Brooks County,31.9611759,-83.4643551
Jefferson County,27.0273057,-98.2212979
Clinch County,39.5800298,-105.2662931
Brantley County,30.9716985,-82.820974
Murray County,31.1510963,-81.9971108
Banks County,34.7928029,-84.7315563
Long County,34.378542,-83.4643551
Catoosa County,31.7755541,-81.8224362
Candler County,34.8981727,-85.1479364
Marion County,32.4241804,-82.0842901
Johnson County,29.2787765,-82.12784
Telfair County,38.845412,-94.8520636
Twiggs County,31.8907647,-82.9931607
McIntosh County,32.68356,-83.4643551
Dooly County,31.4748147,-81.3839326
Pulaski County,32.1593447,-83.804868
Chattahoochee County,34.7538615,-92.2236667
Clay County,32.2952274,-84.8150781
Echols County,29.9943564,-81.7787021
Glascock County,30.7503289,-82.9501558
Taliaferro County,33.2422994,-82.6267345
Webster County,33.5697878,-82.8855961
Wheeler County,42.3974963,-94.1513764
Hawaii,32.3870233,-82.5834947
US ,21.3965054,-157.7405934
Honolulu County,37.09024,-95.712891
Hawaii County,21.3069857,-157.8584319
Maui County,19.5429151,-155.6658568
Kauai County,20.7983626,-156.3319253
Kalawao County,21.9661076,-159.5737912
Idaho,21.2273942,-156.9749731
US ,44.0682019,-114.7420408
Owyhee County,37.09024,-95.712891
Boise County,42.6827359,-116.0622892
Latah County,43.9604787,-115.8563106
Nez Perce County,46.7360364,-116.6764195
Kootenai County,46.4181814,-116.622876
Ada County,47.7568407,-116.6222056
Lincoln County,43.478767,-116.2420304
Blaine County,35.4637028,-81.2078164
Lemhi County,43.4743428,-113.9664446
Washington County,45.0364592,-113.9230554
Canyon County,45.5469616,-123.1386021
Twin Falls County,43.6779581,-116.6865435
Payette County,42.335252,-114.6758916
Idaho County,44.0205185,-116.7205398
Gooding County,45.9019541,-115.7237433
Jerome County,42.9180557,-114.7494346
Bingham County,42.712818,-114.3287857
Franklin County,43.2112303,-112.3624146
Bonner County,40.0154745,-82.9931607
Elmore County,48.2751783,-116.5931483
Power County,32.5647083,-86.0121573
Minidoka County,42.7528492,-112.7684521
Benewah County,42.8409971,-113.5808126
Valley County,47.2437836,-116.6499425
Gem County,44.9204669,-115.7926381
Shoshone County,44.0324936,-116.3589245
Cassia County,47.1746948,-115.9104676
Teton County,42.358036,-113.5728501
Bannock County,43.853632,-110.6314491
Bonneville County,42.5836362,-112.1430215
Boundary County,43.4508683,-111.5455289
Caribou County,48.7987617,-116.5627065
Custer County,42.7538684,-111.6660725
Clearwater County,38.0615578,-105.3131185
Jefferson County,47.7200787,-95.3105661
Fremont County,39.5800298,-105.2662931
Madison County,38.5306514,-105.5005483
Adams County,38.9041402,-89.9253233
Bear Lake County,39.8398269,-104.1930918
Butte County,42.228222,-111.2845025
Camas County,39.6253952,-121.5370003
Clark County,43.5093688,-114.8243665
Lewis County,36.0795613,-115.094045
Oneida County,46.6195461,-122.4554639
Illinois,36.0795613,-115.094045
US ,40.6331249,-89.3985283
Scott County,37.09024,-95.712891
Ford County,44.6834072,-93.5407909
Greene County,37.6540069,-99.8124935
Bond County,39.697399,-83.8897057
Warren County,38.902985,-89.4742177
Grundy County,39.4241422,-84.1857115
Carroll County,41.3500531,-88.4016041
Logan County,39.5423418,-77.0564464
Douglas County,40.3899679,-83.8473015
Sangamon County,39.2587106,-104.9388853
Shelby County,39.7337353,-89.6251646
Lake County,35.1268552,-89.9253233
DuPage County,42.3689363,-87.8271534
Union County,41.8243831,-88.0900762
Clinton County,34.9338651,-80.543845
De Witt County,42.9663458,-84.5222189
McLean County,29.1235194,-97.3516558
Tazewell County,40.5478429,-88.864698
Mercer County,40.5522078,-89.4742177
White County,40.3028533,-74.7337069
McHenry County,34.6567728,-83.7199136
Peoria County,42.3039993,-88.4016041
Kendall County,40.7156396,-89.7755338
Fulton County,41.5507043,-88.4403883
Jefferson County,33.8033965,-84.3962535
Will County,39.5800298,-105.2662931
Johnson County,41.5054724,-88.0900762
Clay County,38.845412,-94.8520636
Marion County,29.9943564,-81.7787021
Adams County,29.2787765,-82.12784
Monroe County,39.8398269,-104.1930918
Henry County,43.2841246,-77.7452081
Perry County,33.4347963,-84.1435136
Madison County,40.371376,-77.2405153
Champaign County,38.9041402,-89.9253233
Franklin County,40.2138865,-88.2461183
Whiteside County,40.0154745,-82.9931607
Morgan County,41.7605503,-89.8505012
Cook County,41.0576176,-111.6183755
Livingston County,41.7376587,-87.697554
Macon County,42.6207951,-83.8473015
Menard County,35.1197519,-83.336188
Henderson County,30.9802428,-99.8124935
Winnebago County,35.3725873,-82.4319405
DeKalb County,44.0126679,-88.7108964
Knox County,33.7956441,-84.2278796
Jersey County,35.9874629,-83.9419784
Kankakee County,39.0704754,-90.3748354
Pike County,41.1790977,-87.7763333
Rock Island County,41.3361875,-75.0611147
St. Clair County,41.3998209,-90.563609
Alexander County,43.016179,-82.6483442
Moultrie County,35.8974199,-81.2078164
Jo Daviess County,39.6020543,-88.5951751
Bureau County,42.3148804,-90.2244662
Edwards County,41.3599156,-89.4742177
Christian County,29.9282955,-100.439656
McDonough County,36.997644,-93.1779659
Lee County,40.3885122,-90.6773046
Crawford County,26.6630286,-81.9534815
Kane County,41.6661391,-80.2767327
Woodford County,41.987884,-88.4016041
Richland County,40.7128889,-89.1705998
Stephenson County,34.0412165,-80.9428911
Hancock County,42.314489,-89.6251646
Ogle County,39.8249915,-85.8486236
Coles County,41.9969811,-89.3226954
Montgomery County,39.5560011,-88.2461183
Vermilion County,39.1547426,-77.2405153
Jasper County,40.122469,-87.697554
Calhoun County,32.491436,-81.0754657
Piatt County,33.7701576,-85.80766
Jackson County,40.0543526,-88.556531
Cass County,38.9914998,-94.315422
La Salle County,38.6574448,-94.315422
Macoupin County,28.2758921,-99.1013498
Schuyler County,39.2375268,-89.9253233
Gallatin County,42.3796425,-76.8720961
Williamson County,45.5388865,-111.1194231
Iroquois County,30.7591685,-97.6982272
Wayne County,40.7740275,-87.697554
Marshall County,42.2790746,-83.336188
Boone County,34.3652297,-86.3376761
Randolph County,38.9940572,-84.7315563
Effingham County,35.7449531,-79.8296743
Mason County,32.378148,-81.3839326
Washington County,47.4251146,-123.1951376
Pulaski County,45.5469616,-123.1386021
Fayette County,34.7538615,-92.2236667
Massac County,33.4502206,-84.4802606
Stark County,37.2478298,-88.7493998
Wabash County,40.8684676,-81.2518833
Clark County,40.8033875,-85.8486236
Putnam County,36.0795613,-115.094045
Edgar County,41.4351069,-73.7948516
Saline County,39.7131223,-87.7763333
Lawrence County,34.5708215,-92.539603
Brown County,40.957855,-80.365865
Hardin County,44.4561674,-87.9334803
Pope County,30.364764,-94.315422
Hamilton County,45.5472257,-95.4363717
Cumberland County,35.1618966,-85.1479364
Indiana,35.3725873,-82.4319405
US ,40.2671941,-86.1349019
Tipton County,37.09024,-95.712891
Rush County,35.5217179,-89.7379958
Knox County,39.6481768,-85.520024
Morgan County,35.9874629,-83.9419784
Hamilton County,41.0576176,-111.6183755
Warrick County,35.1618966,-85.1479364
Boone County,38.0736703,-87.2618328
Newton County,38.9940572,-84.7315563
Warren County,33.5544296,-83.8473015
Hendricks County,39.4241422,-84.1857115
Shelby County,39.8064942,-86.5400674
Floyd County,35.1268552,-89.9253233
Orange County,38.2869276,-85.8895551
Fountain County,33.7174708,-117.8311428
Hancock County,40.2227197,-87.3347575
Lake County,39.8249915,-85.8486236
